F_Left,F_Right,B_Left,B_Right,BR_Left,BR_Right,Label
910,304,875,216,447,401,p4_왼다리꼬기
467,752,406,680,230,626,p5_오른쪽기대기
791,443,726,522,551,176,p6_왼쪽기대기
6,4,6,3,2,1,p0_앉지않음
758,712,666,629,480,482,p1_정자세
865,833,414,503,19,13,p2_앞으로숙이기
410,883,198,809,375,435,p3_오른다리꼬기
900,433,863,289,483,361,p4_왼다리꼬기
511,788,376,757,210,633,p5_오른쪽기대기
781,613,709,462,631,174,p6_왼쪽기대기
7,2,5,3,2,2,p0_앉지않음
751,674,636,601,482,515,p1_정자세
880,813,443,467,17,24,p2_앞으로숙이기
311,850,211,909,476,447,p3_오른다리꼬기
911,293,947,306,454,479,p4_왼다리꼬기
524,761,410,723,256,703,p5_오른쪽기대기
829,474,650,443,652,232,p6_왼쪽기대기
0,9,4,3,0,0,p0_앉지않음
741,703,585,585,486,566,p1_정자세
839,789,387,386,1,14,p2_앞으로숙이기
338,927,392,895,439,405,p3_오른다리꼬기
1002,352,850,298,457,444,p4_왼다리꼬기
471,722,448,672,178,654,p5_오른쪽기대기
737,575,567,504,699,137,p6_왼쪽기대기
3,3,0,2,0,3,p0_앉지않음
746,763,686,593,479,519,p1_정자세
801,878,387,381,18,17,p2_앞으로숙이기
331,946,245,874,473,437,p3_오른다리꼬기
913,287,886,290,429,491,p4_왼다리꼬기
464,679,372,730,161,720,p5_오른쪽기대기
645,584,710,445,628,211,p6_왼쪽기대기
4,8,5,5,1,1,p0_앉지않음
715,614,582,687,506,492,p1_정자세
850,863,373,361,15,10,p2_앞으로숙이기
370,831,351,868,460,489,p3_오른다리꼬기
966,400,776,236,425,451,p4_왼다리꼬기
525,713,459,662,181,593,p5_오른쪽기대기
703,432,651,502,612,278,p6_왼쪽기대기
6,5,2,7,1,2,p0_앉지않음
828,695,707,614,498,570,p1_정자세
824,922,435,371,18,19,p2_앞으로숙이기
381,837,263,840,447,474,p3_오른다리꼬기
907,283,865,330,472,493,p4_왼다리꼬기
541,772,446,616,212,658,p5_오른쪽기대기
763,436,645,502,648,220,p6_왼쪽기대기
5,5,7,3,2,1,p0_앉지않음
678,684,661,626,550,464,p1_정자세
842,832,472,409,20,7,p2_앞으로숙이기
363,935,304,892,429,506,p3_오른다리꼬기
991,331,832,372,513,429,p4_왼다리꼬기
478,735,382,654,169,619,p5_오른쪽기대기
748,511,777,400,689,193,p6_왼쪽기대기
4,7,1,6,2,2,p0_앉지않음
714,822,618,623,475,477,p1_정자세
824,897,471,371,10,17,p2_앞으로숙이기
322,925,310,789,511,521,p3_오른다리꼬기
875,330,861,316,476,530,p4_왼다리꼬기
491,710,381,663,199,721,p5_오른쪽기대기
724,511,699,509,751,184,p6_왼쪽기대기
3,8,7,10,2,1,p0_앉지않음
729,755,691,675,542,546,p1_정자세
905,875,391,407,21,10,p2_앞으로숙이기
368,884,301,901,457,451,p3_오른다리꼬기
845,387,875,408,437,458,p4_왼다리꼬기
512,828,445,713,218,657,p5_오른쪽기대기
727,509,753,398,655,178,p6_왼쪽기대기
8,0,3,6,3,1,p0_앉지않음
672,794,577,540,517,479,p1_정자세
809,878,412,371,8,19,p2_앞으로숙이기
382,896,392,807,388,422,p3_오른다리꼬기
898,362,840,317,399,507,p4_왼다리꼬기
495,805,467,722,217,667,p5_오른쪽기대기
782,566,709,485,646,243,p6_왼쪽기대기
2,10,4,0,2,1,p0_앉지않음
742,667,627,555,481,403,p1_정자세
786,880,439,421,10,14,p2_앞으로숙이기
349,853,375,885,441,451,p3_오른다리꼬기
908,247,840,265,409,438,p4_왼다리꼬기
589,782,421,728,241,686,p5_오른쪽기대기
752,467,734,469,685,219,p6_왼쪽기대기
8,3,8,5,4,1,p0_앉지않음
786,709,617,625,487,516,p1_정자세
870,827,398,507,23,17,p2_앞으로숙이기
351,904,330,809,439,383,p3_오른다리꼬기
915,382,830,378,400,391,p4_왼다리꼬기
511,802,534,677,232,648,p5_오른쪽기대기
741,544,732,371,709,241,p6_왼쪽기대기
3,6,6,5,1,1,p0_앉지않음
698,758,677,631,530,386,p1_정자세
895,780,381,344,8,20,p2_앞으로숙이기
326,913,297,869,453,398,p3_오른다리꼬기
939,325,787,278,510,484,p4_왼다리꼬기
482,732,433,803,211,667,p5_오른쪽기대기
801,511,687,440,647,198,p6_왼쪽기대기
7,5,7,4,2,0,p0_앉지않음
745,717,699,505,583,494,p1_정자세
894,808,430,347,11,24,p2_앞으로숙이기
340,908,343,869,456,464,p3_오른다리꼬기
996,347,858,352,494,497,p4_왼다리꼬기
531,692,531,642,209,619,p5_오른쪽기대기
746,516,716,471,714,213,p6_왼쪽기대기
4,7,8,1,2,2,p0_앉지않음
685,768,642,656,493,500,p1_정자세
806,792,479,357,10,4,p2_앞으로숙이기
318,847,382,890,422,540,p3_오른다리꼬기
939,333,750,414,394,384,p4_왼다리꼬기
551,871,519,728,217,684,p5_오른쪽기대기
787,514,705,446,619,191,p6_왼쪽기대기
0,4,2,1,2,3,p0_앉지않음
745,621,600,697,460,491,p1_정자세
872,811,405,333,11,16,p2_앞으로숙이기
270,917,299,872,458,504,p3_오른다리꼬기
905,328,854,327,451,451,p4_왼다리꼬기
464,716,379,787,162,622,p5_오른쪽기대기
714,544,685,512,623,208,p6_왼쪽기대기
2,11,1,5,2,2,p0_앉지않음
690,693,652,642,538,588,p1_정자세
827,795,395,528,10,23,p2_앞으로숙이기
433,877,328,915,434,441,p3_오른다리꼬기
876,299,824,238,451,419,p4_왼다리꼬기
511,672,466,741,140,664,p5_오른쪽기대기
811,439,783,470,621,198,p6_왼쪽기대기
6,5,6,2,2,0,p0_앉지않음
694,654,613,711,543,524,p1_정자세
806,837,460,407,26,16,p2_앞으로숙이기
359,887,306,843,478,488,p3_오른다리꼬기
868,283,776,325,405,363,p4_왼다리꼬기
519,874,449,741,202,646,p5_오른쪽기대기
795,485,713,466,623,229,p6_왼쪽기대기
4,2,6,2,2,1,p0_앉지않음
754,723,648,690,555,522,p1_정자세
850,797,346,384,11,14,p2_앞으로숙이기
352,921,296,869,452,370,p3_오른다리꼬기
862,342,801,329,511,498,p4_왼다리꼬기
489,824,457,683,181,637,p5_오른쪽기대기
730,508,708,450,667,235,p6_왼쪽기대기
7,0,0,7,0,1,p0_앉지않음
641,609,677,687,476,396,p1_정자세
828,865,326,409,14,17,p2_앞으로숙이기
355,861,359,843,448,412,p3_오른다리꼬기
882,305,843,385,395,385,p4_왼다리꼬기
573,739,416,751,181,723,p5_오른쪽기대기
783,475,807,419,679,208,p6_왼쪽기대기
8,9,5,2,2,1,p0_앉지않음
800,706,631,659,446,461,p1_정자세
898,823,347,426,20,18,p2_앞으로숙이기
399,869,228,910,437,439,p3_오른다리꼬기
953,377,868,408,424,487,p4_왼다리꼬기
502,763,526,725,216,692,p5_오른쪽기대기
731,458,647,351,732,166,p6_왼쪽기대기
4,4,5,7,2,1,p0_앉지않음
691,714,637,730,519,529,p1_정자세
876,896,409,335,16,11,p2_앞으로숙이기
323,923,361,850,462,518,p3_오른다리꼬기
909,480,872,211,480,465,p4_왼다리꼬기
564,783,443,638,193,615,p5_오른쪽기대기
720,529,783,469,602,213,p6_왼쪽기대기
8,3,4,5,1,2,p0_앉지않음
693,720,605,628,528,485,p1_정자세
919,834,411,446,7,6,p2_앞으로숙이기
273,950,272,952,427,457,p3_오른다리꼬기
961,450,932,360,490,473,p4_왼다리꼬기
538,722,409,699,194,631,p5_오른쪽기대기
784,547,704,523,604,194,p6_왼쪽기대기
2,0,4,4,3,2,p0_앉지않음
648,792,711,679,490,461,p1_정자세
835,893,494,477,12,9,p2_앞으로숙이기
357,829,316,844,431,386,p3_오른다리꼬기
920,323,803,156,448,520,p4_왼다리꼬기
583,727,419,723,170,662,p5_오른쪽기대기
788,561,694,439,614,175,p6_왼쪽기대기
4,6,7,2,3,1,p0_앉지않음
698,662,528,694,529,488,p1_정자세
852,870,321,373,18,8,p2_앞으로숙이기
364,845,323,848,385,496,p3_오른다리꼬기
870,309,858,357,409,452,p4_왼다리꼬기
521,784,458,681,175,653,p5_오른쪽기대기
696,353,721,495,555,169,p6_왼쪽기대기
6,11,5,2,1,3,p0_앉지않음
667,660,625,602,504,564,p1_정자세
862,839,385,321,19,14,p2_앞으로숙이기
340,1023,314,819,432,495,p3_오른다리꼬기
904,278,886,266,524,493,p4_왼다리꼬기
477,814,453,742,214,616,p5_오른쪽기대기
717,551,683,429,611,212,p6_왼쪽기대기
11,1,5,9,1,2,p0_앉지않음
646,721,640,699,547,603,p1_정자세
873,863,409,382,16,13,p2_앞으로숙이기
358,952,249,895,502,445,p3_오른다리꼬기
815,319,901,298,410,429,p4_왼다리꼬기
542,777,438,681,188,613,p5_오른쪽기대기
830,483,760,526,689,187,p6_왼쪽기대기
6,4,2,5,0,3,p0_앉지않음
676,710,664,637,523,481,p1_정자세
884,796,406,496,9,11,p2_앞으로숙이기
375,907,317,869,475,494,p3_오른다리꼬기
916,337,876,394,444,411,p4_왼다리꼬기
555,743,341,742,183,646,p5_오른쪽기대기
766,509,735,428,670,192,p6_왼쪽기대기
7,6,2,8,1,2,p0_앉지않음
718,791,638,632,499,487,p1_정자세
881,785,347,346,19,23,p2_앞으로숙이기
344,893,303,896,412,459,p3_오른다리꼬기
939,375,857,350,341,477,p4_왼다리꼬기
467,658,475,768,195,688,p5_오른쪽기대기
830,565,781,487,653,151,p6_왼쪽기대기
4,2,11,4,2,2,p0_앉지않음
702,784,618,659,470,447,p1_정자세
825,848,378,365,7,14,p2_앞으로숙이기
274,930,304,791,437,419,p3_오른다리꼬기
912,417,774,305,443,476,p4_왼다리꼬기
510,712,434,660,232,650,p5_오른쪽기대기
845,496,664,374,577,152,p6_왼쪽기대기
5,6,0,7,1,2,p0_앉지않음
780,744,636,605,413,471,p1_정자세
841,810,393,403,13,11,p2_앞으로숙이기
358,917,245,906,446,450,p3_오른다리꼬기
928,361,888,314,425,464,p4_왼다리꼬기
442,755,448,689,196,574,p5_오른쪽기대기
722,504,707,398,700,174,p6_왼쪽기대기
7,6,3,10,0,2,p0_앉지않음
750,666,719,637,511,510,p1_정자세
844,882,439,312,21,6,p2_앞으로숙이기
401,945,245,833,405,441,p3_오른다리꼬기
887,388,902,369,427,441,p4_왼다리꼬기
415,709,498,780,162,626,p5_오른쪽기대기
748,514,659,471,631,199,p6_왼쪽기대기
6,5,3,4,1,1,p0_앉지않음
687,779,678,635,527,486,p1_정자세
896,864,394,422,7,9,p2_앞으로숙이기
290,905,386,939,475,470,p3_오른다리꼬기
827,322,818,268,443,431,p4_왼다리꼬기
401,787,396,711,262,613,p5_오른쪽기대기
623,485,755,547,600,214,p6_왼쪽기대기
3,4,12,0,2,2,p0_앉지않음
754,704,665,630,510,486,p1_정자세
874,835,418,398,20,14,p2_앞으로숙이기
261,950,254,823,426,504,p3_오른다리꼬기
814,506,892,311,447,461,p4_왼다리꼬기
526,782,477,704,194,643,p5_오른쪽기대기
740,556,729,302,676,205,p6_왼쪽기대기
4,3,8,7,1,2,p0_앉지않음
651,631,618,693,538,520,p1_정자세
879,870,367,421,19,18,p2_앞으로숙이기
409,928,317,892,448,414,p3_오른다리꼬기
893,312,822,292,418,437,p4_왼다리꼬기
405,760,450,659,219,687,p5_오른쪽기대기
669,461,661,403,683,194,p6_왼쪽기대기
4,0,6,1,2,2,p0_앉지않음
768,634,499,659,572,549,p1_정자세
858,830,440,351,17,17,p2_앞으로숙이기
403,1010,319,829,448,379,p3_오른다리꼬기
872,329,829,307,417,494,p4_왼다리꼬기
500,749,433,707,224,615,p5_오른쪽기대기
717,484,632,409,630,226,p6_왼쪽기대기
5,5,7,4,2,1,p0_앉지않음
713,670,528,643,556,537,p1_정자세
888,899,404,409,11,13,p2_앞으로숙이기
380,948,293,831,450,474,p3_오른다리꼬기
842,235,827,238,429,444,p4_왼다리꼬기
477,822,466,715,218,604,p5_오른쪽기대기
801,496,733,396,587,224,p6_왼쪽기대기
6,2,2,8,0,3,p0_앉지않음
654,731,633,680,478,493,p1_정자세
851,809,437,374,13,10,p2_앞으로숙이기
221,892,420,881,449,439,p3_오른다리꼬기
900,377,802,355,478,478,p4_왼다리꼬기
521,750,483,729,189,627,p5_오른쪽기대기
755,577,638,376,656,201,p6_왼쪽기대기
5,5,4,9,0,1,p0_앉지않음
694,617,641,733,500,509,p1_정자세
799,825,381,384,21,17,p2_앞으로숙이기
294,909,324,895,513,409,p3_오른다리꼬기
867,287,840,323,489,446,p4_왼다리꼬기
484,757,408,804,151,657,p5_오른쪽기대기
851,500,690,432,642,241,p6_왼쪽기대기
0,9,0,4,1,2,p0_앉지않음
620,723,751,581,507,473,p1_정자세
867,850,367,424,24,14,p2_앞으로숙이기
385,848,252,868,509,464,p3_오른다리꼬기
887,349,799,330,485,431,p4_왼다리꼬기
476,763,428,696,262,640,p5_오른쪽기대기
732,467,737,440,624,239,p6_왼쪽기대기
9,3,0,8,1,2,p0_앉지않음
601,744,589,686,500,461,p1_정자세
833,877,405,429,24,7,p2_앞으로숙이기
430,904,255,796,442,486,p3_오른다리꼬기
894,425,791,299,399,464,p4_왼다리꼬기
544,728,319,709,213,666,p5_오른쪽기대기
811,446,734,509,578,209,p6_왼쪽기대기
3,4,6,3,1,2,p0_앉지않음
645,645,683,592,526,518,p1_정자세
780,822,459,350,12,17,p2_앞으로숙이기
389,889,270,906,519,489,p3_오른다리꼬기
903,309,816,326,466,506,p4_왼다리꼬기
532,674,502,650,188,660,p5_오른쪽기대기
849,655,730,440,671,226,p6_왼쪽기대기
4,10,5,6,2,2,p0_앉지않음
741,669,622,594,517,531,p1_정자세
868,916,399,433,9,13,p2_앞으로숙이기
384,933,285,847,389,435,p3_오른다리꼬기
935,378,870,302,450,423,p4_왼다리꼬기
534,771,474,673,135,693,p5_오른쪽기대기
726,456,734,430,692,218,p6_왼쪽기대기
7,0,8,5,1,2,p0_앉지않음
611,720,598,582,439,544,p1_정자세
824,911,373,314,9,21,p2_앞으로숙이기
342,878,308,870,494,507,p3_오른다리꼬기
885,283,833,313,411,411,p4_왼다리꼬기
517,747,451,662,193,613,p5_오른쪽기대기
794,551,607,403,590,180,p6_왼쪽기대기
4,0,2,1,2,2,p0_앉지않음
663,708,622,636,566,553,p1_정자세
798,883,440,342,19,22,p2_앞으로숙이기
293,863,350,860,472,463,p3_오른다리꼬기
915,283,891,358,440,448,p4_왼다리꼬기
423,775,478,696,233,636,p5_오른쪽기대기
778,449,698,441,659,188,p6_왼쪽기대기
4,7,3,0,3,3,p0_앉지않음
635,734,624,663,511,490,p1_정자세
818,822,354,358,14,11,p2_앞으로숙이기
384,959,270,859,469,468,p3_오른다리꼬기
903,387,869,238,484,485,p4_왼다리꼬기
461,751,484,689,232,744,p5_오른쪽기대기
710,430,715,486,640,243,p6_왼쪽기대기
0,7,3,10,3,1,p0_앉지않음
672,742,630,647,501,423,p1_정자세
849,822,375,472,8,19,p2_앞으로숙이기
336,888,339,863,472,488,p3_오른다리꼬기
886,319,806,258,567,499,p4_왼다리꼬기
432,683,474,727,216,639,p5_오른쪽기대기
743,516,704,339,640,174,p6_왼쪽기대기
5,13,6,4,2,2,p0_앉지않음
721,730,752,593,518,462,p1_정자세
872,813,379,385,19,19,p2_앞으로숙이기
287,902,264,799,441,437,p3_오른다리꼬기
997,371,794,271,490,533,p4_왼다리꼬기
420,656,543,719,173,671,p5_오른쪽기대기
618,500,716,496,609,202,p6_왼쪽기대기
2,5,2,3,1,2,p0_앉지않음
742,688,651,577,488,497,p1_정자세
954,805,473,449,16,23,p2_앞으로숙이기
368,915,297,898,493,424,p3_오른다리꼬기
847,339,817,296,499,431,p4_왼다리꼬기
497,752,492,587,181,658,p5_오른쪽기대기
810,475,606,480,624,164,p6_왼쪽기대기
3,4,3,0,2,3,p0_앉지않음
732,643,639,649,523,526,p1_정자세
820,853,422,472,18,18,p2_앞으로숙이기
354,956,320,815,506,477,p3_오른다리꼬기
882,326,861,323,457,462,p4_왼다리꼬기
584,803,459,747,169,665,p5_오른쪽기대기
840,489,657,417,606,176,p6_왼쪽기대기
3,0,5,7,1,3,p0_앉지않음
725,751,617,692,456,535,p1_정자세
856,872,341,355,17,10,p2_앞으로숙이기
373,845,342,800,472,475,p3_오른다리꼬기
872,379,860,273,409,371,p4_왼다리꼬기
517,671,454,686,220,637,p5_오른쪽기대기
733,536,716,465,668,153,p6_왼쪽기대기
7,6,1,4,1,1,p0_앉지않음
716,771,704,584,524,553,p1_정자세
865,893,500,451,16,20,p2_앞으로숙이기
357,900,282,912,417,511,p3_오른다리꼬기
919,280,864,194,475,485,p4_왼다리꼬기
470,756,547,674,168,709,p5_오른쪽기대기
848,500,750,517,620,185,p6_왼쪽기대기
8,10,6,2,3,1,p0_앉지않음
683,717,727,692,516,518,p1_정자세
851,872,273,385,16,9,p2_앞으로숙이기
369,891,387,912,431,443,p3_오른다리꼬기
897,327,857,262,404,474,p4_왼다리꼬기
531,709,494,668,207,682,p5_오른쪽기대기
748,522,674,440,641,177,p6_왼쪽기대기
4,0,3,4,1,1,p0_앉지않음
696,723,693,617,451,458,p1_정자세
830,835,361,335,12,15,p2_앞으로숙이기
379,877,279,812,448,416,p3_오른다리꼬기
922,260,835,315,457,557,p4_왼다리꼬기
517,699,445,611,197,616,p5_오른쪽기대기
795,472,694,418,719,190,p6_왼쪽기대기
10,7,6,6,2,0,p0_앉지않음
686,742,647,579,497,568,p1_정자세
899,847,447,381,6,10,p2_앞으로숙이기
428,889,287,838,526,515,p3_오른다리꼬기
988,342,861,224,509,403,p4_왼다리꼬기
510,695,420,658,181,628,p5_오른쪽기대기
722,541,644,461,698,184,p6_왼쪽기대기
2,4,8,5,1,2,p0_앉지않음
644,734,670,634,466,464,p1_정자세
871,899,368,422,4,12,p2_앞으로숙이기
348,863,253,823,461,442,p3_오른다리꼬기
810,243,825,322,340,430,p4_왼다리꼬기
473,819,430,719,204,564,p5_오른쪽기대기
788,510,725,646,566,251,p6_왼쪽기대기
4,5,4,3,1,2,p0_앉지않음
624,737,629,593,481,550,p1_정자세
828,864,363,437,18,24,p2_앞으로숙이기
341,926,304,901,421,479,p3_오른다리꼬기
892,346,853,312,445,458,p4_왼다리꼬기
578,799,493,677,173,688,p5_오른쪽기대기
793,573,669,438,584,188,p6_왼쪽기대기
7,3,6,4,2,0,p0_앉지않음
704,550,640,568,548,531,p1_정자세
868,910,352,487,19,13,p2_앞으로숙이기
406,855,258,825,428,407,p3_오른다리꼬기
948,337,864,271,377,460,p4_왼다리꼬기
404,746,381,799,227,654,p5_오른쪽기대기
813,457,727,459,660,238,p6_왼쪽기대기
7,5,0,2,1,2,p0_앉지않음
643,820,725,680,502,491,p1_정자세
811,853,412,337,16,14,p2_앞으로숙이기
254,865,279,925,472,396,p3_오른다리꼬기
919,272,893,276,446,503,p4_왼다리꼬기
435,680,420,751,154,536,p5_오른쪽기대기
727,527,760,426,633,234,p6_왼쪽기대기
0,3,5,6,1,2,p0_앉지않음
575,667,672,600,502,517,p1_정자세
836,856,351,389,18,15,p2_앞으로숙이기
320,908,335,768,496,436,p3_오른다리꼬기
917,409,795,264,438,418,p4_왼다리꼬기
586,707,422,710,163,634,p5_오른쪽기대기
765,483,695,423,589,209,p6_왼쪽기대기
10,5,5,7,0,3,p0_앉지않음
710,781,613,740,531,522,p1_정자세
859,840,460,407,5,9,p2_앞으로숙이기
340,912,297,898,371,455,p3_오른다리꼬기
827,387,846,320,415,501,p4_왼다리꼬기
552,779,443,728,178,684,p5_오른쪽기대기
832,553,663,468,598,217,p6_왼쪽기대기
6,0,1,4,1,0,p0_앉지않음
719,712,640,612,541,566,p1_정자세
830,825,424,382,14,18,p2_앞으로숙이기
254,952,303,833,446,448,p3_오른다리꼬기
830,424,851,322,488,409,p4_왼다리꼬기
523,736,492,593,197,625,p5_오른쪽기대기
771,523,664,414,645,173,p6_왼쪽기대기
7,3,0,3,0,0,p0_앉지않음
638,705,716,665,475,518,p1_정자세
831,822,342,312,13,15,p2_앞으로숙이기
345,883,252,874,397,481,p3_오른다리꼬기
859,312,791,274,489,470,p4_왼다리꼬기
548,776,394,683,176,703,p5_오른쪽기대기
690,544,744,541,633,221,p6_왼쪽기대기
11,3,0,0,2,0,p0_앉지않음
681,721,659,671,508,551,p1_정자세
811,822,361,441,19,17,p2_앞으로숙이기
409,852,383,910,479,521,p3_오른다리꼬기
833,323,820,336,407,480,p4_왼다리꼬기
568,784,464,650,174,699,p5_오른쪽기대기
788,498,679,348,607,257,p6_왼쪽기대기
1,5,8,1,2,2,p0_앉지않음
700,843,566,702,493,530,p1_정자세
867,820,411,307,18,16,p2_앞으로숙이기
381,942,318,855,414,421,p3_오른다리꼬기
947,421,840,302,413,496,p4_왼다리꼬기
533,847,406,681,206,675,p5_오른쪽기대기
739,456,744,486,613,240,p6_왼쪽기대기
8,5,5,6,1,2,p0_앉지않음
592,743,571,725,486,491,p1_정자세
824,838,470,275,21,16,p2_앞으로숙이기
289,856,383,812,403,495,p3_오른다리꼬기
913,303,858,248,494,492,p4_왼다리꼬기
526,768,538,699,164,667,p5_오른쪽기대기
854,449,681,470,647,170,p6_왼쪽기대기
8,11,5,2,0,2,p0_앉지않음
755,723,649,620,456,533,p1_정자세
886,788,479,428,21,8,p2_앞으로숙이기
281,894,325,921,478,440,p3_오른다리꼬기
858,411,811,381,438,513,p4_왼다리꼬기
533,743,424,682,212,653,p5_오른쪽기대기
720,491,703,343,668,170,p6_왼쪽기대기
1,0,0,0,1,3,p0_앉지않음
673,708,670,656,496,452,p1_정자세
908,922,315,348,13,10,p2_앞으로숙이기
375,870,408,897,458,491,p3_오른다리꼬기
944,321,817,303,484,455,p4_왼다리꼬기
421,709,446,696,259,594,p5_오른쪽기대기
775,574,813,429,669,217,p6_왼쪽기대기
5,4,6,0,2,2,p0_앉지않음
688,802,616,629,579,466,p1_정자세
827,844,442,410,8,12,p2_앞으로숙이기
319,896,321,866,378,492,p3_오른다리꼬기
910,419,867,355,468,503,p4_왼다리꼬기
526,745,563,744,217,598,p5_오른쪽기대기
685,514,707,419,655,247,p6_왼쪽기대기
7,1,4,2,1,1,p0_앉지않음
676,637,643,621,382,582,p1_정자세
893,834,400,341,23,24,p2_앞으로숙이기
357,940,308,796,433,455,p3_오른다리꼬기
881,339,846,295,452,407,p4_왼다리꼬기
464,685,498,594,234,705,p5_오른쪽기대기
734,369,681,446,609,184,p6_왼쪽기대기
9,6,2,0,1,1,p0_앉지않음
724,673,675,746,532,498,p1_정자세
842,835,459,368,15,15,p2_앞으로숙이기
324,845,316,847,470,428,p3_오른다리꼬기
948,306,918,212,467,469,p4_왼다리꼬기
460,771,513,589,215,550,p5_오른쪽기대기
701,581,670,391,642,262,p6_왼쪽기대기
0,1,9,10,1,0,p0_앉지않음
804,779,683,609,498,493,p1_정자세
863,908,443,346,21,16,p2_앞으로숙이기
384,958,244,848,428,387,p3_오른다리꼬기
913,475,776,298,475,454,p4_왼다리꼬기
494,685,461,662,134,697,p5_오른쪽기대기
797,502,711,503,658,227,p6_왼쪽기대기
4,8,5,5,0,2,p0_앉지않음
658,668,609,596,584,553,p1_정자세
926,801,403,335,11,10,p2_앞으로숙이기
411,884,353,874,542,390,p3_오른다리꼬기
950,407,811,350,463,440,p4_왼다리꼬기
458,714,552,700,223,618,p5_오른쪽기대기
711,554,632,429,651,203,p6_왼쪽기대기
4,6,7,7,1,1,p0_앉지않음
759,744,581,667,420,501,p1_정자세
925,812,358,438,7,11,p2_앞으로숙이기
379,874,288,879,466,460,p3_오른다리꼬기
886,368,845,322,430,442,p4_왼다리꼬기
450,748,409,644,207,658,p5_오른쪽기대기
789,478,720,477,667,175,p6_왼쪽기대기
